epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0816,3.5144,6.56475,4.21753,0,0,0,0,4.01155,5.6171,4.25935,0.000410156,0.000410156,0.000410156
2,59.7477,2.52599,4.33501,2.9607,0.83929,0.02752,0.03343,0.01555,2.36677,3.94526,3.08045,0.00082273,0.00082273,0.00082273
3,81.7667,2.21717,3.31828,2.44139,0.56245,0.03188,0.02762,0.01364,2.24856,3.98507,3.09006,0.00123118,0.00123118,0.00123118
4,103.364,2.03885,2.90586,2.20999,0.55079,0.05302,0.11332,0.04841,2.26934,3.62673,2.61642,0.00123144,0.00123144,0.00123144
5,125.209,1.94857,2.6046,2.04343,0.8618,0.1679,0.2148,0.09399,2.14756,2.69862,2.52364,0.00122525,0.00122525,0.00122525
6,146.867,1.82392,2.37758,1.92414,0.80205,0.20343,0.24673,0.1094,1.86959,2.62783,2.07239,0.00121906,0.00121906,0.00121906
7,168.509,1.78048,2.2597,1.88346,0.74545,0.25004,0.24876,0.13385,1.64298,2.28429,1.86489,0.00121287,0.00121287,0.00121287
8,190.879,1.69861,2.15763,1.79792,0.79398,0.25011,0.29537,0.16021,1.61891,2.22806,1.84586,0.00120669,0.00120669,0.00120669
9,212.61,1.63393,2.04985,1.7489,0.79905,0.238,0.32541,0.17317,1.69126,2.27066,1.86023,0.0012005,0.0012005,0.0012005
10,234.519,1.62549,1.96729,1.71743,0.61051,0.30428,0.3285,0.18093,1.55616,2.09751,1.7643,0.00119431,0.00119431,0.00119431
11,256.275,1.56457,1.9227,1.68111,0.62893,0.2984,0.36769,0.20598,1.49413,1.9944,1.67542,0.00118812,0.00118812,0.00118812
12,277.962,1.54484,1.84032,1.6252,0.61742,0.26555,0.3486,0.19248,1.56249,1.81871,1.73371,0.00118194,0.00118194,0.00118194
13,299.422,1.48988,1.7778,1.61867,0.86998,0.30101,0.36162,0.20741,1.46872,1.84996,1.6771,0.00117575,0.00117575,0.00117575
14,321.236,1.51838,1.77101,1.61798,0.71938,0.30373,0.41149,0.2264,1.60056,1.77001,1.78679,0.00116956,0.00116956,0.00116956
15,343.1,1.48668,1.6596,1.57757,0.70892,0.29175,0.37164,0.21969,1.46855,1.98196,1.68461,0.00116337,0.00116337,0.00116337
16,364.629,1.44732,1.66993,1.56182,0.5684,0.37745,0.43135,0.23992,1.59481,1.78904,1.75175,0.00115719,0.00115719,0.00115719
17,386.531,1.45488,1.61801,1.54263,0.6551,0.33359,0.35237,0.19099,1.6384,2.03723,1.81528,0.001151,0.001151,0.001151
18,408.137,1.3768,1.58032,1.50067,0.64464,0.37835,0.4302,0.26016,1.43315,1.55566,1.63272,0.00114481,0.00114481,0.00114481
